epochs,train_loss,train_cost,val_cost
0,0.057725433,8.126152,7.142528
1,0.43523985,7.0198774,6.8331623
2,-0.05244048,6.799927,6.692892
3,-0.21513543,6.7059703,6.6481056
4,-0.16910644,6.6476564,6.585553
5,-0.21084756,6.606468,6.55772
6,-0.20123357,6.5790243,6.533435
7,-0.20451881,6.5594954,6.523542
8,-0.17670833,6.5427947,6.505786
9,-0.17904146,6.530585,6.4873476
10,-0.19809744,6.519344,6.4940104
11,-0.15416735,6.508296,6.478488
12,-0.16621172,6.4995356,6.4869556
13,-0.13755234,6.4940825,6.47636
14,-0.11532383,6.4876075,6.460555
15,-0.14074893,6.4802,6.4586205
16,-0.13124135,6.474483,6.4573145
17,-0.11284375,6.4697905,6.4460807
18,-0.12861899,6.464823,6.437971
19,-0.13243529,6.459164,6.4339194
20,-0.13290825,6.4535875,6.438004
21,-0.12190188,6.44997,6.443571
22,-0.11239375,6.447536,6.420986
23,-0.12801744,6.443129,6.431984
24,-0.11823546,6.440166,6.42777
25,-0.107929625,6.436949,6.418355
26,-0.09892246,6.4335003,6.4274316
27,-0.09260898,6.430896,6.412428
28,-0.11238246,6.429055,6.4071865
29,-0.11275884,6.424093,6.4058414
30,-0.11065548,6.4216547,6.401159
31,-0.10574161,6.4185834,6.3972263
32,-0.1168384,6.415805,6.399093
33,-0.11321704,6.4131637,6.389376
34,-0.1172516,6.4110584,6.393464
35,-0.11503467,6.410205,6.3980913
36,-0.109255955,6.4086895,6.392976
37,-0.10428008,6.4064713,6.39075
38,-0.0974484,6.4040713,6.3854094
39,-0.108119674,6.403427,6.39277
